,feature_set,model_name,accuracy_score,precision_score,recall_score,f1_score
8,pos_freq_univ,Support Vector Machine,0.7239382239382239,0.7243453727124308,0.7239382239382239,0.720515183075573
1,all_features_excl_penn,Stochastic Gradient Descent,0.7287644787644788,0.725437513967481,0.7287644787644788,0.7185571606340788
5,pos_freq_combo,GradientBoosting,0.7258687258687259,0.7054258726986987,0.7258687258687259,0.7146373074805592
3,all_features_excl_univ,Decision Tree,0.7133204633204633,0.7153280304228559,0.7133204633204633,0.7126577751714478
1,pos_freq_penn,Stochastic Gradient Descent,0.7191119691119691,0.7120073807573808,0.7191119691119691,0.7098953898401607
2,pos_freq_univ,Random Forest,0.7104247104247104,0.7119228084707195,0.7104247104247104,0.7077080622710928
1,all_features_excl_univ,Stochastic Gradient Descent,0.7162162162162162,0.7216170379927506,0.7162162162162162,0.7024520619557207
3,all_features_excl_tfidf,Decision Tree,0.6959459459459459,0.6937019156392559,0.6959459459459459,0.694398437056535
7,pos_freq_univ,K Nearest Neighbor,0.6901544401544402,0.6953414975868719,0.6901544401544402,0.6881351220580018
5,all_features_excl_tfidf,GradientBoosting,0.6978764478764479,0.6814976543509789,0.6978764478764479,0.687794958820372
6,pos_freq_penn,Gaussian Naive Bayes,0.6737451737451737,0.736766985465772,0.6737451737451737,0.680831018894087
5,all_features_excl_univ,GradientBoosting,0.7017374517374517,0.6579143892362284,0.7017374517374517,0.6774623342379147
3,pos_freq_penn,Decision Tree,0.6727799227799228,0.6754741580291234,0.6727799227799228,0.6737356522846427
6,pos_freq_combo,Gaussian Naive Bayes,0.6611969111969112,0.7319254898495969,0.6611969111969112,0.6696415170117728
3,all_features,Decision Tree,0.666988416988417,0.6696246039664483,0.666988416988417,0.6677683335637048
1,pos_freq_univ,Stochastic Gradient Descent,0.6747104247104247,0.6916228548368502,0.6747104247104247,0.6644500884010882
6,all_features,Gaussian Naive Bayes,0.6611969111969112,0.7345252932390038,0.6611969111969112,0.6634665972486996
3,pos_freq_combo,Decision Tree,0.6602316602316602,0.6690302497982564,0.6602316602316602,0.6633686623284685
5,all_features_excl_penn,GradientBoosting,0.6756756756756757,0.6627729917133134,0.6756756756756757,0.6630928559342932
5,pos_freq_univ,GradientBoosting,0.6486486486486487,0.6671513796618129,0.6486486486486487,0.6543242270063642
6,all_features_excl_univ,Gaussian Naive Bayes,0.6467181467181468,0.7237381422464466,0.6467181467181468,0.6486315049065711
6,pos_freq_univ,Gaussian Naive Bayes,0.640926640926641,0.6969899040686222,0.640926640926641,0.6443855375923805
3,all_features_excl_penn,Decision Tree,0.638996138996139,0.650339955399933,0.638996138996139,0.6425811574770037
6,all_features_excl_tfidf,Gaussian Naive Bayes,0.637065637065637,0.718415036439506,0.637065637065637,0.639887337485563
3,pos_freq_univ,Decision Tree,0.6332046332046332,0.6396421488088156,0.6332046332046332,0.6357784510352582
6,all_features_excl_penn,Gaussian Naive Bayes,0.6187258687258688,0.7111017969700582,0.6187258687258688,0.620361968844964
5,line_widths,GradientBoosting,0.5945945945945946,0.5563048255805265,0.5945945945945946,0.5609299571031393
2,text_stats,Random Forest,0.5617760617760618,0.5448738759004133,0.5617760617760618,0.5505633214920459
2,line_widths,Random Forest,0.5704633204633205,0.5377729391226325,0.5704633204633205,0.5467092865468298
7,text_stats,K Nearest Neighbor,0.5627413127413128,0.5465591196209917,0.5627413127413128,0.5411011296468833
